id,"year",position,song
1,"1959",1,80505
2,"1959",2,80506
3,"1959",3,80507
4,"1959",4,80508
5,"1959",5,80509
6,"1959",6,80510
7,"1959",7,80511
8,"1959",8,80512
9,"1959",9,80513
10,"1959",10,80514
11,"1959",11,80515
12,"1959",12,80516
13,"1959",13,80517
14,"1959",14,80518
15,"1959",15,80519
16,"1959",16,80520
17,"1959",17,80521
18,"1959",18,80522
19,"1959",19,80523
20,"1959",20,80524
21,"1959",21,80525
22,"1959",22,80526
23,"1959",23,80527
24,"1959",24,80528
25,"1959",25,80529
26,"1959",26,80530
27,"1959",27,80531
28,"1959",28,80532
29,"1959",29,80533
30,"1959",30,80534
31,"1959",31,80535
32,"1959",32,80536
33,"1959",33,80537
34,"1959",34,80538
35,"1959",35,80539
36,"1959",36,80540
37,"1959",37,80541
38,"1959",38,80542
39,"1959",39,80543
40,"1959",40,80544
41,"1959",41,80545
42,"1959",42,80546
43,"1959",43,80547
44,"1959",44,80548
45,"1959",45,80549
46,"1959",46,80550
47,"1959",47,80551
48,"1959",48,80552
49,"1959",49,80553
50,"1959",50,80554
51,"1959",51,80555
52,"1959",52,80556
53,"1959",53,80557
54,"1959",54,80558
55,"1959",55,80559
56,"1959",56,80560
57,"1959",57,80561
58,"1959",58,80562
59,"1959",59,80563
60,"1959",60,80564
61,"1959",61,80565
62,"1959",62,80566
63,"1959",63,80567
64,"1959",64,80568
65,"1959",65,80569
66,"1959",66,80570
67,"1959",67,80571
68,"1959",68,80572
69,"1959",69,80573
70,"1959",70,80574
71,"1959",71,80575
72,"1959",72,80576
73,"1959",73,80577
74,"1959",74,80578
75,"1959",75,80579
76,"1959",76,80580
77,"1959",77,80581
78,"1959",78,80582
79,"1959",79,80583
80,"1959",80,80584
81,"1959",81,80585
82,"1959",82,80586
83,"1959",83,80587
84,"1959",84,80588
85,"1959",85,80589
86,"1959",86,80590
87,"1959",87,80591
88,"1959",88,80592
89,"1959",89,80593
90,"1959",90,80594
91,"1959",91,80595
92,"1959",92,80596
93,"1959",93,80597
94,"1959",94,80598
95,"1959",95,80599
96,"1959",96,80600
97,"1959",97,80601
98,"1959",98,80602
99,"1959",99,80603
100,"1959",100,80604
101,"1960",1,80605
102,"1960",2,80606
103,"1960",3,80607
104,"1960",4,80608
105,"1960",5,80609
106,"1960",6,80610
107,"1960",7,80611
108,"1960",8,80612
109,"1960",9,80613
110,"1960",10,80614
111,"1960",11,80615
112,"1960",12,80616
113,"1960",13,80617
114,"1960",14,80618
115,"1960",15,80619
116,"1960",16,80620
117,"1960",17,80621
118,"1960",18,80622
119,"1960",19,80623
120,"1960",20,80624
121,"1960",21,80625
122,"1960",22,80626
123,"1960",23,80627
124,"1960",24,80628
125,"1960",25,80629
126,"1960",26,80630
127,"1960",27,80631
128,"1960",28,80632
129,"1960",29,80633
130,"1960",30,80634
131,"1960",31,80635
132,"1960",32,80636
133,"1960",33,80637
134,"1960",34,80638
135,"1960",35,80639
136,"1960",36,80640
137,"1960",37,80641
138,"1960",38,80642
139,"1960",39,80643
140,"1960",40,80644
141,"1960",41,80645
142,"1960",42,80646
143,"1960",43,80647
144,"1960",44,80648
145,"1960",45,80649
146,"1960",46,80650
147,"1960",47,80651
148,"1960",48,80652
149,"1960",49,80653
150,"1960",50,80654
151,"1960",51,80655
152,"1960",52,80656
153,"1960",53,80657
154,"1960",54,80658
155,"1960",55,80659
156,"1960",56,80660
157,"1960",57,80661
158,"1960",58,80662
159,"1960",59,80663
160,"1960",60,80664
161,"1960",61,80665
162,"1960",62,80666
163,"1960",63,80667
164,"1960",64,80668
165,"1960",65,80669
166,"1960",66,80670
167,"1960",67,80671
168,"1960",68,80672
169,"1960",69,80673
170,"1960",70,80674
171,"1960",71,80675
172,"1960",72,80676
173,"1960",73,80677
174,"1960",74,80678
175,"1960",75,80679
176,"1960",76,80680
177,"1960",77,80681
178,"1960",78,80682
179,"1960",79,80683
180,"1960",80,80684
181,"1960",81,80685
182,"1960",82,80686
183,"1960",83,80687
184,"1960",84,80688
185,"1960",85,80689
186,"1960",86,80548
187,"1960",87,80691
188,"1960",88,80692
189,"1960",89,80693
190,"1960",90,80579
191,"1960",91,80695
192,"1960",92,80696
193,"1960",93,80697
194,"1960",94,80698
195,"1960",95,80699
196,"1960",96,80700
197,"1960",97,80701
198,"1960",98,80702
199,"1960",99,80703
200,"1960",100,80704
201,"1961",1,80705
202,"1961",2,80706
203,"1961",3,80707
204,"1961",4,80708
205,"1961",5,80709
206,"1961",6,80681
207,"1961",7,80711
208,"1961",8,80712
209,"1961",9,80713
210,"1961",10,80714
211,"1961",11,80715
212,"1961",12,80716
213,"1961",13,80555
214,"1961",14,80718
215,"1961",15,80719
216,"1961",16,80720
217,"1961",17,80721
218,"1961",18,80722
219,"1961",19,80723
220,"1961",20,80724
221,"1961",21,80725
222,"1961",22,80726
223,"1961",23,80727
224,"1961",24,80728
225,"1961",25,80729
226,"1961",26,80730
227,"1961",27,80731
228,"1961",28,80732
229,"1961",29,80733
230,"1961",30,80734
231,"1961",31,80735
232,"1961",32,80736
233,"1961",33,80737
234,"1961",34,80738
235,"1961",35,80739
236,"1961",36,80740
237,"1961",37,80741
238,"1961",38,80742
239,"1961",39,80743
240,"1961",40,80744
241,"1961",41,80745
242,"1961",42,80746
243,"1961",43,80747
244,"1961",44,80748
245,"1961",45,80749
246,"1961",46,80750
247,"1961",47,80751
248,"1961",48,80752
249,"1961",49,80753
250,"1961",50,80754
251,"1961",51,80755
252,"1961",52,80756
253,"1961",53,80757
254,"1961",54,80758
255,"1961",55,80759
256,"1961",56,80760
257,"1961",57,80761
258,"1961",58,80762
259,"1961",59,80763
260,"1961",60,80764
261,"1961",61,80765
262,"1961",62,80766
263,"1961",63,80767
264,"1961",64,80768
265,"1961",65,80769
266,"1961",66,80770
267,"1961",67,80771
268,"1961",68,80772
269,"1961",69,80773
